Master_SKU,Original_Category,Amazon Cat,Remark,Cost,MRP,Uniware,FBA,Sjit,FBF,Launch Date,LOC,Cost into %,Cost after %,Return Charge,GST on Return,Final TP,Required Selling Price,Selected Price Range,Selected Fixed Fee Range,Commission %,Commission Amount,Fixed Closing Fee,FBA Pick Pack,Technology Fee,Full Shipping Fee,WHF % On Shipping,Shipping Fee Charged,Total Charges,Final Value After Charges,Sett Acc Panel,Net Profit On SP,Net Profit % On SP,Net Profit % On TP,Old Daily SP,Old Deal SP
JOPLJPR4054-L,Tunics-Jpr,Apparel - Other products,Closed,235.0,2330.0,0.0,0.0,0.0,0.0,11-Apr-24,Jaipur,23.0,305.1948051948052,59.0,10.62,374.8148051948052,463,300-500,250-500,5.0,23.15,20.0,20.0,13.0,30.0,40.0,12.0,88.15,374.81,374.85,70.23000000000002,15.16846652267819,18.737253445337856,499.0,475.0
JOPLJPR752-XL,Cotton Top,Apparel - Other products,Slow Moving,260.0,2330.0,62.0,1.0,0.0,1.0,6-Aug-24,Jaipur,23.0,337.6623376623377,59.0,10.62,407.2823376623377,497,300-500,250-500,5.0,24.86,20.0,20.0,13.0,30.0,40.0,12.0,89.86,407.28,407.14,77.51999999999998,15.597585513078469,19.033479439579544,499.0,475.0
JOPLVL260A-S,Skd-Jpr,Apparel - Ethnic Wear,Closed,975.0,4996.0,0.0,0.0,0.0,0.0,23-Apr-22,Jaipur,23.0,1266.2337662337663,59.0,10.62,1335.8537662337662,1691,>1000,>1000,16.0,270.64,25.0,25.0,15.0,50.0,40.0,20.0,355.64,1335.85,1335.3600000000001,290.74000000000024,17.193376700177424,21.764358296469595,1249.0,1199.0
JOPLVSRW5212-S,Rw Salwar Suit,Apparel - Ethnic Wear,Platinum B,285.0,2663.0,10.0,4.0,0.0,8.0,3-Jun-25,Surat,23.0,370.1298701298702,59.0,10.62,439.7498701298702,566,500-1000,500-1000,10.0,56.64,20.0,20.0,14.0,40.0,40.0,16.0,126.64,439.75,439.36,84.74000000000001,14.971731448763254,19.270045486306557,499.0,475.0
JOPLVSM4249,Dress Material,Apparel - Sarees and Dress Materials,Closed,225.0,1663.0,0.0,0.0,0.0,0.0,9-Jan-22,Surat,23.0,292.20779220779224,59.0,10.62,361.82779220779224,445,300-500,250-500,4.0,17.78,20.0,20.0,13.0,30.0,40.0,12.0,82.78,361.83,362.22,67.60000000000002,15.191011235955063,18.682920841298547,425.0,399.0
JOPLVL224-M,Skd-Jpr,Apparel - Ethnic Wear,Slow Moving,620.0,4996.0,0.0,0.0,0.0,0.0,14-Jul-22,Jaipur,23.0,805.1948051948052,59.0,10.62,874.8148051948052,1143,>1000,>1000,16.0,182.82,25.0,25.0,15.0,50.0,40.0,20.0,267.82,874.81,875.1800000000001,185.56000000000006,16.23447069116361,21.21134654993399,1249.0,1199.0
JOPLJPR201-M,"Maternity Gown  48""",Apparel - Other products,Closed,333.0,2663.0,8.0,0.0,0.0,0.0,11-Apr-24,Jaipur,23.0,432.46753246753246,59.0,10.62,502.08753246753247,643,500-1000,500-1000,11.0,70.71,20.0,20.0,14.0,40.0,40.0,16.0,140.71,502.09,502.28999999999996,99.66999999999996,15.500777604976665,19.85112028378142,799.0,759.05
JOPLST702-XXL,Tunics-St,Apparel - Other products,Closed,119.0,930.0,0.0,0.0,0.0,0.0,19-Apr-24,Surat,23.0,154.54545454545456,59.0,10.62,224.16545454545457,285,0-300,250-500,0.0,0.0,20.0,20.0,13.0,20.0,40.0,8.0,61.0,224.17,224.0,35.379999999999995,12.414035087719297,15.782984970516903,299.0,279.0
JOPLST243-5XL,Skd-St,Apparel - Ethnic Wear,Diamond A,305.0,2663.0,165.0,0.0,0.0,15.0,29-Jul-24,Surat,23.0,396.1038961038961,59.0,10.62,465.7238961038961,595,500-1000,500-1000,10.0,59.52,20.0,20.0,14.0,40.0,40.0,16.0,129.52,465.72,465.48,90.86000000000001,15.270588235294118,19.50941335845273,649.0,599.0
JOPLJPR43-5XL,Kurta-Jpr,Apparel - Ethnic Wear,Diamond B,265.0,1996.0,25.0,0.0,20.0,0.0,21-Mar-22,Jaipur,23.0,344.1558441558442,59.0,10.62,413.7758441558442,484,300-500,250-500,1.0,4.84,20.0,20.0,13.0,30.0,40.0,12.0,69.84,413.78,414.15999999999997,79.53999999999996,16.433884297520652,19.222968455848786,557.0,539.0
