Master SKU,MRP,Cost,Wholesale Price,Catalog Name,Up Price,Launch Date
JOPLJPR2016-XXL,2663,318,398,Alina,550,19-Jun-25
JOPLJPR2019-L,2663,299,375,,550,15-Jul-25
JOPLJPR2019-M,2663,299,375,,550,15-Jul-25
JOPLJPR2019-S,2663,299,375,,550,15-Jul-25
JOPLJPR2019-XL,2663,299,375,,550,15-Jul-25
JOPLJPR2019-XS,2663,299,375,,550,15-Jul-25
JOPLJPR2019-XXL,2663,299,375,,550,15-Jul-25
JOPLJPR204-3XL,2663,280,460,,550,21-Jan-25
JOPLJPR204-L,2663,280,460,,550,21-Jan-25
JOPLJPR204-M,2663,280,460,,550,21-Jan-25
JOPLJPR204-XL,2663,280,460,,550,21-Jan-25
JOPLJPR204-XXL,2663,280,460,,550,21-Jan-25
JOPLJPR205-3XL,2663,350,460,,550,24-Dec-24
JOPLJPR205-L,2663,350,460,,550,24-Dec-24
JOPLJPR205-M,2663,350,460,,550,24-Dec-24
JOPLJPR205-XL,2663,350,460,,550,24-Dec-24
JOPLJPR205-XXL,2663,350,460,,550,24-Dec-24
JOPLJPR206-3XL,2663,377,460,,550,11-Apr-24
JOPLJPR206-L,2663,377,460,,550,11-Apr-24
JOPLJPR206-M,2663,377,460,,550,11-Apr-24
JOPLJPR206-XL,2663,377,460,,550,1-Jun-25
JOPLJPR206-XXL,2663,377,460,,550,1-Jun-25
JOPLJPR209-3XL,2663,383,460,,550,1-Jun-25
JOPLJPR209-L,2663,383,460,,550,18-Sep-24
JOPLJPR209-M,2663,383,460,,550,18-Sep-24
JOPLJPR209-XL,2663,383,460,,550,18-Sep-24
JOPLJPR209-XXL,2663,383,460,,550,18-Sep-24
JOPLJPR211-3XL,2663,365,460,,550,18-Sep-24
JOPLJPR211-L,2663,365,460,,550,18-Sep-24
JOPLJPR211-M,2663,365,460,,550,18-Sep-24
JOPLJPR211-XL,2663,365,460,,550,18-Sep-24
JOPLJPR211-XXL,2663,365,460,,550,18-Sep-24
JOPLJPR212-3XL,2663,330,413,,550,11-Apr-24
JOPLJPR212-L,2663,330,413,,550,11-Apr-24
JOPLJPR212-M,2663,330,413,,550,11-Apr-24
JOPLJPR212-XL,2663,330,413,,550,24-Dec-24
JOPLJPR212-XXL,2663,330,413,,550,24-Dec-24
JOPLJPR214-3XL,2663,333,416,,550,24-Sep-24
JOPLJPR214-L,2663,333,416,,550,24-Sep-24
JOPLJPR214-M,2663,333,416,,550,24-Sep-24
JOPLJPR214-XL,2663,333,416,,550,11-Apr-24
JOPLJPR214-XXL,2663,333,416,,550,11-Apr-24
JOPLJPR215-3XL,2663,342,460,,550,24-Dec-24
JOPLJPR215-L,2663,342,460,,550,24-Dec-24
JOPLJPR215-M,2663,342,460,,550,24-Dec-24
JOPLJPR215-XL,2663,342,460,,550,24-Dec-24
JOPLJPR215-XXL,2663,342,460,,550,24-Dec-24
JOPLJPR216-3XL,2663,297,460,,550,24-Sep-24
JOPLJPR216-L,2663,297,460,,550,11-Apr-20
JOPLJPR216-M,2663,297,460,,550,24-Sep-24
JOPLJPR216-XL,2663,297,460,,550,24-Sep-24
JOPLJPR216-XXL,2663,297,460,,550,24-Sep-24
JOPLJPR301-L,2736,295,369,Glory,450,25-Sep-23
JOPLJPR301-M,2736,295,369,Glory,450,25-Sep-23
JOPLJPR301-S,2736,295,369,Glory,450,21-May-24
JOPLJPR301-XL,2736,295,369,Glory,450,25-Sep-23
JOPLJPR301-XS,2736,295,369,Glory,450,9-Nov-23
JOPLJPR301-XXL,2736,295,369,Glory,450,25-Sep-23
JOPLJPR302-L,2736,325,406,Glory,450,25-Sep-23
JOPLJPR302-M,2736,325,406,Glory,450,9-Feb-23
JOPLJPR302-S,2736,325,406,Glory,450,9-Feb-23
JOPLJPR302-XL,2736,325,406,Glory,450,9-Feb-23
JOPLJPR302-XS,2736,325,406,Glory,450,9-Feb-23
