Master SKU,Style ID / Parent SKU,Size,Category,Loc,Child Remark,Parent Remark,Type
JOPLJPR306-L,JOPLJPR306,L,"Dress 36""",Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR7020-S,JOPLJPR7020,S,Cotton Top,Jaipur,Slow Moving,Platinum C,Live
JOPLST742-S,JOPLST742,S,Tunics-St,Surat,Closed,Closed,Closed
JOPLVSRW5239-XXL,JOPLVSRW5239,XXL,RW Salwar suit,Surat,Launch Phase,Launch Phase,Live
JOPLMF307,JOPLMF307,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVL305-M,JOPLVL305,M,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR145B-XL,JOPLJPR145B,XL,Kurta-Jpr,Jaipur,Platinum C,Platinum C,Live
JOPLVSRW4167-XXL,JOPLVSRW4167,XXL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR749-M,JOPLJPR749,M,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR13-5XL,JOPLJPR13,5XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR351-L,JOPLJPR351,L,"Dress 42 """,Jaipur,Platinum C,Platinum C,Live
JOPLJPR791-XXL,JOPLJPR791,XXL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR343-XL,JOPLJPR343,XL,"Dress 46""",Jaipur,Platinum C,Slow Moving,Live
JOPLJPR783-XL,JOPLJPR783,XL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLST272-XXL,JOPLST272,XXL,Skd-St,Surat,Closed,Closed,Closed
JOPLST201-XXL,JOPLST201,XXL,Skd-St,Surat,Diamond C,Platinum A,Live
JOPLMSFRTW1515-XXL,JOPLMSFRTW1515,XXL,Rtw,Surat,Closed,Closed,Closed
JOPLVL238-M,JOPLVL238,M,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR734-XL,JOPLJPR734,XL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR863-M,JOPLJPR863,M,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR7033-L,JOPLJPR7033,L,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR135-L,JOPLJPR135,L,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR791-S,JOPLJPR791,S,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLVL311-XXL,JOPLVL311,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR2020-S,JOPLJPR2020,S,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLJPR116-S,JOPLJPR116,S,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR335-M,JOPLJPR335,M,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLJPR831-M,JOPLJPR831,M,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLST14-XXL,JOPLST14,XXL,Kurta-St,Surat,Closed,Closed,Closed
JOPLJPR159D-XXL,JOPLJPR159D,XXL,Kurta-Jpr,Jaipur,Platinum C,New Listing,Live
JOPLVSRW5122-7XL,JOPLVSRW5122,7XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR4055-3XL,JOPLJPR4055,3XL,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR709-M,JOPLJPR709,M,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSRW9001-6XL,JOPLVSRW9001,6XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLNS4030B,JOPLNS4030B,Free,Saree,Surat,Closed,Closed,Closed
JOPLVL299B-5XL,JOPLVL299B,5XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLST201-XL,JOPLST201,XL,Skd-St,Surat,Platinum B,Platinum A,Live
JOPLJPR402-XXL,JOPLJPR402,XXL,Plazzo Pant,Jaipur,Closed,Closed,Closed
JOPLVL105-XL,JOPLVL105,XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL114-L,JOPLVL114,L,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLST290-L,JOPLST290,L,Pending,Pending,Launch Phase,Launch Phase,Live
JOPLJPR412-S,JOPLJPR412,S,Plazzo Pant,Jaipur,Closed,Closed,Closed
JOPLVSM5106,JOPLVSM5106,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLST282-M,JOPLST282,M,SKD-ST,Surat,New Listing,New Listing,Live
JOPLVL105-5XL,JOPLVL105,5XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR839-XXL,JOPLJPR839,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR4019-XXL,JOPLJPR4019,XXL,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR4051-XL,JOPLJPR4051,XL,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5216-5XL,JOPLVSRW5216,5XL,Rw Salwar Suit,Surat,Platinum C,Platinum B,Live
JOPLJPR111-L,JOPLJPR111,L,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVJD1014,JOPLVJD1014,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVL223A-M,JOPLVL223A,M,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR866-3XL,JOPLJPR866,3XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
