uni,uni_stock,fba,fba_stock,fbf,fbf_stock,sjit,sjit_stock
JOPLJPR136-S,1,JOPLJPR705-XXL,11,JOPLVSRW4031-XL,13,JOPLST202-XL,2
JOPLJPR138-L,189,JOPLVSMRW4250-XXL,4,JOPLVSMRW4250-7XL,9,JOPLJPR747-XXL,1
JOPLJPR138-M,59,JOPLVSMRW4250-4XL,1,JOPLVSMRW4250-4XL,2,JOPLJPR713-L,16
JOPLJPR138-S,245,JOPLVSMRW4250-M,1,JOPLVSRW5204-5XL,1,JOPLVSMRW4250-5XL,12
JOPLJPR138-XL,63,JOPLVSMRW4250-S,5,JOPLST268-XXL,2,JOPLJPR43-5XL,20
JOPLJPR138-XXL,75,JOPLJPR711-S,5,JOPLVSMRW5156-S,8,JOPLVSMRW4250-L,2
JOPLJPR139-L,1,JOPLJPR706-XL,50,JOPLAI1001D,6,JOPLVSRW4292-3XL,8
JOPLJPR139-M,6,JOPLJPR706-S,10,JOPLJPR68D-3XL,2,JOPLVSRW4147-8XL,11
JOPLJPR139-S,6,JOPLJPR706-M,35,JOPLVSRW5203-4XL,2,JOPLJPR89-M,3
JOPLJPR139-XL,1,JOPLJPR707-XXL,5,JOPLVSMRW5156-6XL,0,JOPLLTRW2017-6XL,63
JOPLJPR139-XXL,4,JOPLJPR709-XS,1,JOPLJPR794-XL,5,JOPLST201-M,1
JOPLJPR13-M,2,JOPLJPR711-XL,16,JOPLJPR83-S,2,JOPLJPR44-XXL,1
JOPLJPR13-S,1,JOPLJPR707-L,2,JOPLLTRW2017-L,4,JOPLLTRW2007-10XL,1
JOPLJPR13-XL,3,JOPLJPR706-XXL,1,JOPLVSMRW5160-4XL,0,JOPLPDPRW1058-6XL,2
JOPLJPR140-L,11,JOPLJPR707-XL,2,JOPLJPR751-XS,0,JOPLST232-S,1
JOPLJPR140-M,2,JOPLJPR708-L,1,JOPLJPR68D-XXL,0,JOPLVSRW5205-XL,3
JOPLJPR140-S,30,JOPLJPR709-L,12,JOPLVSMRW5149-4XL,5,JOPLJPR786-XS,1
JOPLJPR140-XL,14,JOPLJPR703-XS,1,JOPLVSRW5193-XXL,8,JOPLJPR43-XL,11
JOPLJPR140-XXL,6,JOPLDI1025,1,JOPLVL288-S,6,JOPLLTRW2017-M,3
JOPLJPR141-S,1,JOPLDI1020,2,JOPLVSRW4002-XXL,12,JOPLVSRW4292-9XL,1
JOPLJPR141-XL,1,JOPLDI1024,19,JOPLVSRW5172-3XL,1,JOPLLTRW2007-4XL,23
JOPLJPR141-XS,9,JOPLJPR718-XL,3,JOPLVSRW5218-M,3,JOPLVSMRW3988-L,4
JOPLJPR142-L,2,JOPLJPR718-XS,3,JOPLJPR515-XXL,6,JOPLVSRW4082-6XL,2
JOPLJPR142-M,5,JOPLJPR718-M,6,JOPLVSRW4002-XL,5,JOPLVSRW5193-9XL,1
JOPLJPR142-S,12,JOPLJPR718-S,1,JOPLVSM4005J,7,JOPLVL245-L,1
JOPLJPR142-XL,3,JOPLJPR713-XXL,9,JOPLJPR801X-4XL,1,JOPLLTRW2018-XL,1
JOPLJPR142-XS,17,JOPLJPR304-XXL,2,JOPLVSRW5220-M,1,JOPLJPR742-XXL,17
JOPLJPR144-L,50,JOPLJPR307-XL,2,JOPLVL218-XXL,2,JOPLVSRW4031-8XL,1
JOPLJPR144-M,42,JOPLLTRW2007-S,1,JOPLJPR325-XXL,6,JOPLLTRW2015-5XL,11
JOPLJPR144-S,57,JOPLJPR307-L,1,JOPLST269-L,58,JOPLRJN17-XL,1
JOPLJPR144-XL,27,JOPLLTRW2007-M,4,JOPLJPR519-L,0,JOPLLTRW2018-S,1
JOPLJPR144-XXL,33,JOPLJPR301-XL,2,JOPLJPR794-XXL,2,JOPLJPR301-S,1
JOPLJPR145A-S,0,JOPLLTRW2007-XL,2,JOPLJPR43-XL,3,JOPLVSRW4147-10XL,7
JOPLJPR146A-S,4,JOPLST02-XL,1,JOPLVSRW4093-3XL,7,JOPLJPR301-XXL,1
JOPLJPR147A-L,1,JOPLST07-L,1,JOPLLTRW2007-M,4,JOPLLTRW2015-XXL,1
JOPLJPR147A-S,2,JOPLJPR839-XXL,1,JOPLVSRW4093-4XL,2,JOPLJPR346-S,1
JOPLJPR147C-XXL,0,JOPLJPR714-S,1,JOPLVSRW4088-8XL,1,JOPLLTRW2015-L,3
JOPLJPR148A-M,0,JOPLJPR714-XXL,4,JOPLLTRW2017-7XL,10,JOPLLTRW2018-3XL,1
JOPLJPR148B-S,1,JOPLJPR714-M,3,JOPLVSMRW4250-3XL,1,JOPLJPR762-L,1
JOPLJPR148B-XXL,0,JOPLJPR714-XL,43,JOPLLTRW2016-3XL,6,JOPLJPR773-XL,2
JOPLJPR148C-S,5,JOPLJPR714-XS,24,JOPLVSRW5171-7XL,4,JOPLVSRW5206-5XL,2
JOPLJPR149-S,1,JOPLLTRW2017-3XL,24,JOPLJPR68D-L,0,JOPLST11-S,1
JOPLJPR150A-M,9,JOPLLTRW2017-XL,18,JOPLVSRW4292-XL,10,JOPLJPR713-XL,8
JOPLJPR150A-S,18,JOPLLTRW2017-6XL,16,JOPLVSRW4114-5XL,7,JOPLJPR786-S,2
JOPLJPR150A-XL,1,JOPLLTRW2017-M,48,JOPLJPR707-XL,1,JOPLVSMRW4250-4XL,7
JOPLJPR150A-XXL,0,JOPLLTRW2017-L,16,JOPLJPR68A-3XL,1,JOPLJPR4023-XL,2
JOPLJPR150B-L,30,JOPLLTRW2017-4XL,14,JOPLJPR707-M,1,JOPLJPR783-S,1
JOPLJPR150B-M,12,JOPLLTRW2016-M,10,JOPLVSRW4031-M,1,JOPLLTRW2016-XL,3
JOPLJPR150B-S,34,JOPLLTRW2016-S,1,JOPLST269-M,36,JOPLVSRW4005-7XL,7
JOPLJPR150B-XL,28,JOPLLTRW2016-XL,3,JOPLVSRW4093-5XL,2,JOPLVL218-M,2
JOPLJPR150B-XXL,21,JOPLLTRW2015-L,1,JOPLST269-S,40,JOPLJPR763-XS,1
JOPLJPR150C-L,44,JOPLLTRW2015-M,2,JOPLVSRW5216-S,0,JOPLVSRW4147-S,11
JOPLJPR150C-M,30,JOPLLTRW2015-5XL,3,JOPLVSRW5212-S,8,Not Found,1
JOPLJPR150C-S,43,JOPLJPR716-M,1,JOPLVSRW5215-XXL,2,JOPLVSRW4088-3XL,3
JOPLJPR150C-XL,36,JOPLLTRW2015-3XL,6,JOPLST276-L,19,JOPLLTRW2016-5XL,3
JOPLJPR150C-XXL,21,JOPLLTRW2018-XL,2,JOPLVSRW5207-7XL,1,JOPLST14-L,1
